List Sr. No.,Set No.,2026 Set,Name,Country,2025 Team
1,1,BA1,Devon Conway,New Zealand,CSK
2,1,BA1,Jake Fraser-McGurk,Australia,DC
3,1,BA1,Cameron Green,Australia,
4,1,BA1,Sarfaraz Khan,India,
5,1,BA1,David Miller,South Africa,LSG
6,1,BA1,Prithvi Shaw,India,
7,2,AL1,Gus Atkinson,England,
8,2,AL1,Wanindu Hasaranga,Sri Lanka,RR
9,2,AL1,Deepak Hooda,India,CSK
10,2,AL1,Venkatesh Iyer,India,KKR
11,2,AL1,Liam Livingstone,England,RCB
12,2,AL1,Wiaan Mulder,South Africa,SRH
13,2,AL1,Rachin Ravindra,New Zealand,CSK
14,3,WK1,Finn Allen,New Zealand,
15,3,WK1,Jonny Bairstow,England,MI
16,3,WK1,K.S. Bharat,India,
17,3,WK1,Quinton De Kock,South Africa,KKR
18,3,WK1,Ben Duckett,England,
19,3,WK1,Rahmanullah Gurbaz,Afghanistan,KKR
20,3,WK1,Jamie Smith,England,
21,4,FA1,Gerald Coetzee,South Africa,GT
22,4,FA1,Akash Deep,India,LSG
23,4,FA1,Jacob Duffy,New Zealand,
24,4,FA1,Fazalhaq Farooqi,Afghanistan,RR
25,4,FA1,Matt Henry,New Zealand,
26,4,FA1,Spencer Johnson,Australia,KKR
27,4,FA1,Shivam Mavi,India,
28,4,FA1,Anrich Nortje,South Africa,KKR
29,4,FA1,Matheesha Pathirana,Sri Lanka,CSK
30,5,SP1,Ravi Bishnoi,India,LSG
31,5,SP1,Rahul Chahar,India,SRH
32,5,SP1,Akeal Hosein,West Indies,
33,5,SP1,Mujeeb Rahman,Afghanistan,MI
34,5,SP1,Maheesh Theekshana,Sri Lanka,RR
35,6,UBA1,Aarya Desai,India,
36,6,UBA1,Yash Dhull,India,
37,6,UBA1,Abhinav Manohar,India,SRH
38,6,UBA1,Anmolpreet Singh,India,
39,6,UBA1,Atharva Taide,India,SRH
40,6,UBA1,Abhinav Tejrana,India,
41,7,UAL1,Auqib Dar,India,
42,7,UAL1,Rajvardhan Hangargekar,India,LSG
43,7,UAL1,Tanush Kotian,India,
44,7,UAL1,Shivang Kumar,India,
45,7,UAL1,Mahipal Lomror,India,GT
46,7,UAL1,Kamlesh Nagarkoti,India,CSK
47,7,UAL1,Vijay Shankar,India,CSK
48,7,UAL1,Sanvir Singh,India,
49,7,UAL1,Edhen Tom,India,
50,7,UAL1,Prashant Veer,India,
51,8,UWK1,Ruchit Ahir,India,
52,8,UWK1,Vansh Bedi,India,CSK
53,8,UWK1,Mukul Choudhary,India,
54,8,UWK1,Tushar Raheja,India,
55,8,UWK1,Kartik Sharma,India,
56,8,UWK1,Tejasvi Singh,India,
57,9,UFA1,Raj Limbani,India,
58,9,UFA1,Akash Madhwal,India,RR
59,9,UFA1,Sushant Mishra,India,
60,9,UFA1,Ashok Sharma,India,RR
61,9,UFA1,Simarjeet Singh,India,SRH
62,9,UFA1,Naman Tiwari,India,
63,9,UFA1,Kartik Tyagi,India,
64,10,USP1,Yash Raj Punja,India,
65,10,USP1,Vignesh Puthur,India,MI
66,10,USP1,Karn Sharma,India,MI
67,10,USP1,Shivam Shukla,India,
68,10,USP1,Kumar Kartikeya Singh,India,RR
69,10,USP1,Prashant Solanki,India,
70,10,USP1,Wahidullah Zadran,Afghanistan,
71,11,BA2,Mayank Agarawal,India,RCB
72,11,BA2,Sediqullah Atal,Afghanistan,DC
73,11,BA2,Ackeem Auguste,West Indies,
74,11,BA2,Reeza Hendricks,South Africa,
75,11,BA2,Pathum Nissanka,Sri Lanka,
76,11,BA2,Tim Robinson,New Zealand,
77,11,BA2,Steve Smith,Australia,
78,11,BA2,Rahul Tripathi,India,CSK
79,12,AL2,Sean Abbott,Australia,
80,12,AL2,Michael Bracewell,New Zealand,
81,12,AL2,Ben Dwarshuis,Australia,
